"The blood from the heart is transported to all parts of the body by the _____.",arteries
"Haemoglobin is present in _____ cells.","red blood"
"Arteries and veins are joined by a network of _____",capilaries
"The rhythmic expansion and contraction of the heart is called _____.","heart beat"
"The main excretory product in human beings is ___.",urea
"Sweat contains water and ____.",salt
"Kidneys eliminate the waste materials in the liquid form called ____.",urine
"Water reaches great heights in the tree because of suction pull caused by ____.",transpiration
"In plants, water is transported through (xylem/phloem/stomata/root hair)",xylem
"Water absorption through the roots can be increased by keeping the plants.(in the shade/in dim light/under the fan/covered with a polythene bag).","under the fan"
