"Production of new individuals from the vegetative part of parent is called ___.","vegetative propogation"
"A flower may have either male or female reproductive parts. such a flower is called______.","unisexual flowers"
"The transfer of pollen grains from the anther to the stigma of the same or another flower of the same kind is known as _____.",pollination
"The fusion of male and female gametes is termed as ____.",fertilization
"Seed dispesal takes place by means of ______, _____ and ______.","wind	water	animals"
"The reproductive part of a plant is the (leaf/stem/root/flower).",flower
"The process of fusion of the male and the female gametes is called (fertilization/pollination/reproduction/seed formation)",fertilization
"Mature ovary forms the (seed/stamen/pistil/fruit)",fruit
"A spore producing organism is (rose/bread mould/potato/ginger).","bread mould"
"Bryophylum can reproduce by its (stem/leaves/roots/flower)",leaves
